artist_id,artist,track_name,release_date,popularity,track_id,album_id,external_id,explicit,is_local,tiktok_video_count,lyrics,location_mention,names_of_location,count
46pWGuE3dSwY3bMMXGBvVS,Rema,Charm,2023-04-27,75,1iBWjQ9af9NnUd5xnQDB3k,0nayxjaX54Frd7GsZq6Pbs,Rave & Roses Ultra,True,False,299000,"""Charm""

London
Another banger

Come here, wetin dey worry you?
Bring body make I rock am, yeah, yeah
I know you senior me
I get money pass your papa
Wetin you want wey I no fit do for you?
Why you wan dey buga wá»n?
Shey you be Kizz Daniel ni?
You better drop your body armor

Soco, ah
Sofry with this body
Make we run am on a lowkey
Baby you know me
E get as you go move wey I no go 'gree
Come make I drive your mhm
Come make I drive this your jalopy
Baby allow me
Tip you off with alawi

See body oh (See body, see body oh)
Egba mi oh (Egba mi, egba mi oh)
E dey burst my bololo
E dey burst my bololo (E dey burst my bololo)
Please help me oh
Me I don jam wetin pass me oh

Come here, wetin dey worry you? (Worry you, uhh)
Bring body make I rock am (Yeah, yeah)
I know you senior me (Me)
I get money pass your papa (Pass your papa, oh)
Wetin you want wey I no fit do for you? (For you)
Why you wan dey buga wá»n? (Wá»n)
Shey you be Kizz Daniel ni? (Mhmm)
You better drop your body armor

You too dey form with this love of a thing baby eh, lend me, lend
I get pounds for you, you wan dey do like say eh, naira no dey end
You too dey stiff, dey do like say your waist no dey eh, e no dey bend
Oya follow my command baby do like I do
Baby front and back
Gimme boom-baka-boom

Soco, ah
Sofry with this body
Make we run am on a lowkey
Baby you know me
E get as you go move wey I no go 'gree
Come make I drive your mhm
Come make I drive this your jalopy
Baby allow me
Tip you off with alawi

Come here, wetin dey worry you? (Worry you, uhh)
Bring body make I rock am (Yeah, yeah)
I know you senior me (Me)
I get money pass your papa (Pass your papa, oh)
Wetin you want wey I no fit do for you? (Wetin you want wey I no fit do for you?)
Why you wan dey buga wá»n? (Buga wá»n)
Shey you be Kizz Daniel ni? (Mhmm)
You better drop your body armor

Soco, ah (Ayy)
Sofry with this body
Make we run am on a lowkey
Baby you know me
E get as you go move wey I no go 'gree
Come make I drive your mhm
Come make I drive this your jalopy",no,,0.0
3wcj11K77LjEY1PkEazffa,Burna Boy,City Boys,2023-08-24,81,4RoKNqyZ9622tcAeNPNv5k,1JzjwUKkPsdHg1SQ7qa5hc,I Told Them...,True,False,590000,"""City Boys""

[J Hus:]
Ayo, I'm not even gonna lie
I used to call myself a ugly yute, but I'm not even a ugly yute
I'm a sexy yute, you understand?
Gyal all over the globe wanna 'uck me, you understand?

[Burna Boy:]
Girls inna my crib
Zero Snapchat, zero Instagram posting (Yeah)
Fuck up the vibe, my dick
Start fallin' like London Bridge
I don't care if I saw you in a magazine (I-I)
Or if you're on TV, that one don't mean nothin' to me
Don't need a shy ho (I-I), baby, I need a freak
Lick it like ice cream
As if you mean to be disgusting (I-I), it's nothin', o
Chop my bana, once I halla
Then no stoppin', o (I-I), go shoppin', o
Fuck that (Yeah), shh (Yeah)

Mi'o fa Colorado
BRKFST mon fa o
Mi'o dáº¹ ni mu Jekonmo
Azul and Champagne ni ma mu o
I get girls from the ghetto
Get girls from uptown
That's the life of a city boy
Ah-ah-ah

O yáº¹ káº¹ (Yeah), da má»
O yáº¹ káº¹, jáº¹ lá»
O yáº¹ káº¹ (Yeah), já»wá» o (Ayy)
O yáº¹ káº¹, ah, o yáº¹ káº¹, eh
O yáº¹ káº¹

Ma ma á¹£e bakan bakan
Make me dey start to dey para gan
Start to dey holla gan
'Cause you know say my people dey kala gan
Ogun l'oma pa wá»n (I-I)
As they're hatin' on us, make we manya more
Don be my father's son (I-I)
'Cause you know say I come from Port Harcourt (Yeah)
Dance Rahman Jago (I-I)
Start to dey dance am like I do
Koni tan l'apo (I-I)
I go show you sey pounds and dollar po
'Cause I be city boy (I-I)
And as I dey for the streets e dey give me joy
Lamborghini boy (I-I)
Put diamonds on Jesus and I'm not religious, o da na

Mi'o fa Colorado
BRKFST mon fa o
Mi o de ni mu Jekonmo
Azul and Champagne ni ma mu o
I getti girls from the ghetto
Get girls from uptown
That's the life of a city boy
Ah, ah, ah

O yáº¹ káº¹ (Yeah), da má»
O yáº¹ káº¹, jáº¹ lá»
O yáº¹ káº¹ (Yeah), já»wá» o (Ayy)
O yáº¹ káº¹, ah, o yáº¹ káº¹, eh
O yáº¹ káº¹

[J Hus:]
Ayo (I-I), I'm not even gonna lie
I used to call myself a ugly yute, but I'm not even a ugly yute (I-I)
I'm a sexy yute, you understand?
Gyal all over the globe wanna 'uck me, you understand? (I-I)
",yes,"london, colorado, port harcourt",3.0
3Uv5hfyuC7TkLsQ6p4ikSb,Crayon,Ngozi,2023-07-21,76,5mhM7bfzv52bzfCzlq8vH1,60dzSRKqWPNVTunBR1aHal,Trench to Triumph,False,False,412000,"""Ngozi""

You gimme light, bi ti solar
Can feel your love taking over
On a good day, I be loner
See what you make me discover
Girl, you don change my persona
The revelation is in order
All the pressure I've been under

Why I call you Ngọzi
God don bless me, Ngọzi
No deserve this kind loving
The loving wey you show me
Private lounging in Paris
With expensive room service
No one make me do like this
Girl, I gat you, no worries
No worries, girl

E dey do me wah wah oh
Scatter my internal
Craving your nsala oh
You're killing me, Kitana oh
Jeka lo, biza wa o
Hypertension idi nla nla
Referee, no disallow
You're killing me, Kitana oh

E dey do me wah wah wah oh
Scatter my internal
Craving your nsala oh
You're killing me, Kitana oh
Jeka lo, biza wa wa o
Hypertension idi nla nla
Referee, no disallow
You're killing me, Kitana oh

Everything you do me, I like
My best friend, the love of my life
I no fit dey without
Abi you want make bad belle off my light?
The future I want to hold on to
Girly no fear, I dey for you
I go run the matter for me and you
Make I be the reason you believe in true love

Why I call you Ngọzi
God don bless me, Ngọzi
No deserve this kind loving
The loving wey you show me
Private lounging in Paris
With expensive room service
No one make me do like this
Girl, I gat you, no worries
No worries, girl

E dey do me wah wah wah oh
Scatter my internal
Craving your nsala oh
You're killing me, Kitana oh
Jeka lo, biza wa wa o
Hypertension idi nla nla
Referee, no disallow
You're killing me, Kitana oh

E dey do me wah wah wah oh
Scatter my internal
Craving your nsala oh
You're killing me, Kitana oh
Jeka lo, biza wa wa o
Hypertension idi nla nla
Referee, no disallow
You're killing me, Kitana oh",yes,paris,1.0
3SozjO3Lat463tQICI9LcE,Tyla,Water,2023-07-28,95,5aIVCx5tnk0ntmdiinnYvw,22sXXkKgjEuawIFL1e1tRw,Water,False,False,384000,"""Water""

Make me sweat
Make me hotter
Make me lose my breath
Make me water
Make me sweat
Make me hotter
Make me lose my breath
Make me water

Normally
I can keep my cool, but tonight I'm wildin'
I'ma be
In a dangerous mood, can you match my timing?
Mm, mm
Telling me
That you really 'bout it, why try hide it?
Oh, oh
Talk is cheap, so show me
That you understand how I like it

Can you blow my mind?
Set off my whole body
If I give you my time
Can you snatch my soul from me?
I don't wanna wait, come take it
Take me where I ain't been before
Can you blow my mind?
Set off my whole body
Whole body

Make me sweat
Make me hotter
Make me lose my breath
Make me water
Make me sweat
Make me hotter
Make me lose my breath
Make me water

Hopefully
You can last all night, don't get too excited
Ooh, oh, privacy
You ain't gotta go nowhere, you can stay inside it

Can you blow my mind?
Set off my whole body
If I give you my time
Can you snatch my soul from me?
I don't wanna wait, come take it
Take me where I ain't been before
Can you blow my mind?
Set off my whole body
Whole body

Make me sweat
Make me hotter
Make me lose my breath
Make me water
Make me sweat
Make me hotter
Make me lose my breath
Make me water
Make me sweat
Make me hotter
Make me lose my breath
Make me water
Make me sweat
Make me hotter
Make me lose my breath
Make me water

Make me sweat
Make me hotter
Make me lose my breath
Make me water
Make me sweat
Make me hotter
Make me lose my breath
Make me water",no,,0.0
7KiINhQdLAupkwvJ0EelGG,KCee,Ojapiano,2023-06-03,69,6WZVnqQ9OZRSGZmXyHHlV3,1j2D58Awo2MGDL1nAwdF3e,Ojapiano,False,False,2060000,"[Intro]
Kcee-e, Limpopo-o-o
Jaysynth (Bring out the fire)

[Instrumental Break]

[Verse 1]
E no easy to only wise oh
Na who dey lead be strong man oh
See as dem dey look oh
All eyes on me like Tupac oh
I give them Balenciaga, Richard Mille
I too bad oh
I no dey for your chit-chat oh
Carry your matter dey go TikTok oh
My gentle dey zongo o oh
I no dey look back oh

[Chorus]
(Instrumental)
Kcee-e, Limpopo-o-o (Oja, oja)
Oja
Oja, oja

[Verse 2]
Nne you go see commando oh oh
When I land oh
Nne you go see commando oh oh
I don land oh
Nne you go see commando oh oh
When we land oh
Nne you go see commando oh oh
We don land oh
Agu, agu, agu

[Chorus]
(Instrumental)
Kcee-e, Limpopo-o-o (Oja, oja)
Oja
Oja, oja

[Outro]
Nba ana ba ra Agu
Ochendo, ochendo
Nwaanayo Eze ona consider
KelÐµ rem E-money
Nwataanayo ezÐµ",yes,"limpopo, zongo",2.0
3wcj11K77LjEY1PkEazffa,Burna Boy,Cheat On Me (feat. Dave),2023-08-22,65,141y1FjVBV5IY7Mlvw5poL,30EK2qWGcPNfUAkQc2Ppyi,Cheat On Me (feat. Dave),True,False,5293,"""Cheat On Me""
(feat. Dave)

Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me

Me, I just wan make my people dey visa, visa
So I give dem my heart and my liver
If e dey stress you, make you leave am, leave am
No be everybody be believer
Anytime that I double up I deliver
Anytime any arena, 'rena
I be caught on like Jesus
Before you start to criticize, consider, oh, consider, oh

Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me
Me, I just want see my people dem-

Getting bigger, oh, I swear down
Make embassy no deny my people visa, oh
No be Taliban, oh, no be Al-Qaeda, oh
And they do not intend to permanently leave town
Standing my feet down, me, I be leader, oh
So me and you na different caliber
Taking my niggas around the world
Every day, kilome-, kilome-, kilometre, oh
Just like I'm deep down, then you go see say (I was cheating on, cheating on-)
E dey your body, no be because of me
Na psychology, oh, say psychology
They affect everybody, no be me (I was cheating on, cheating on-)

Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me

For the fact I had to fight for my visa
I'm swiping my Visa
Kilonshele, said Kilogram, kilometre
My woman got incredible features
Me and Oluwa Burna, we fly to Ibiza
Make you no deny me my Visa
Bring a likkle gyal a likkle reefer
It's cheaper to keep her
She don't wanna stay, haffi leave her
No be everybody be believer
Hennessy, Casamigos, it's all in the car
I'm Asamoah Gyan, the way I hit the bar
Fine boy, no pimple, no tats
I got a V12 under the bonnet, she got plaits
I'm Mario, my princess got a peach
In my Rolls-Royce seats, so repeat
Genevilla must a come with a beach
One for the street
Four, five, this toast doesn't come with a speech, you know?

Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me

Me, I just wan make my people dey visa, visa
So I give dem my heart and my liver
If e dey stress you, make you leave am, leave am
No be everybody be believer
Anytime that I pull up I deliver
Anytime any arena, 'rena
I be caught on like Jesus
Before you start to criticize, consider, oh, consider, oh

If I ever said I loved you
Then I'll always be by your side
If you call on me then I'll slide
You already know we outside
And I know you go ride
Anytime I call on you
If I ever said I loved you

Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on (Me, I just want see my people dem-)

Getting bigger, oh, I swear down
Make embassy no deny my people visa, oh
They do not intend to permanently leave town
Me, I be leader, oh
Ah, and I couldn't see, I was cheating on, cheating on me
Ah, and I couldn't see, I was cheating on, cheating on me",yes,Ibiza,1.0
5yOvAmpIR7hVxiS6Ls5DPO,Omah Lay,reason,2023-06-14,66,747cO9FmyVvRCrsRusfwdL,5EY6AWFCHJgcY00gUSnlrq,Boy Alone (Deluxe),False,False,101000,"""reason""

Uh, my dear
My dear e my dear, oh my dear
My dear ah, my dear, my dear

How long will it take you to realize?
I don't know who to run to right now
Army is opening heavy fire
I'm unsafe, but I'm still out here

(Fighting)
What are we doing my dear, my dear? (Fighting)
I surrender you myself, myself (Fighting)
My hands are in the air, in the air (Fighting)
Only time will tell the difference clear

What is the reason you do not have your own peace of mind?
Are you having fun or are you doing this thing to survive?
Are you taking the pictures of every memories of your life?
What's the reason why we're still out here?

Shekeleke give me one better finger or two
Make a nigga suit and tie, let him fly like you
Showing you the route, you tryna untie my shoes
Is that good?

(Fighting)
What are we doing my dear, my dear? (Fighting)
I surrender you myself, myself (Fighting)
My hands are in the air, in the air (Fighting)
Only time will tell the difference clear

What is the reason you do not have your own peace of mind?
Are you having fun or are you doing this thing to survive?
Are you taking the pictures of every memories of your life?
What's the reason why we're still out here?

Fighting
Fighting
Fighting
Fighting
Along came Tuzi",no,,0.0
048LktY5zMnakWq7PTtFrz,CKay,HALLELUJAH (feat. Blaqbonez),2023-05-05,54,05pGxMUPDOu3lQVDMg6nqS,1AyItMJ8g0claNyariIM6z,HALLELUJAH (feat. Blaqbonez),False,False,3699,"""HALLELUJAH""
(feat. Blaqbonez)

[CKay:]
Ah-ah, ah-ah-ah-ah

I just wanna make love and money
Walahi suffer, suffer life is not for me
See me I come from nothing
See me I come from trenches
Nothing dey my aza for fourteen days
And nobody feel my pain, uh-huh
I will never be the same, uh-huh
I was a different case, uh-huh
When dem look my side dem dey say, ""Ah, ah""
Nobody pass the almighty
Nobody fit follow me fight
My face show my shoe shine
(My shoe shine, my shoe shine)

Hallelujah
I'm getting mula
Inside cooler, cooler
Eating suya
Hallelujah
Living la vida loca
Owo wole

[Blaqbonez:]
Yeah, I be on the road all day, I'm chasing mula
Fire dey my mouth like azula
Turn a magic beat into suya
Yeah, I been hot for like four years, and they wonder if I'm done yet
People be like rice for my concert
Welcome, welcome the new converts
In a whip wey dey convert, ah-ah-ah
Buju say he wan' race me
Tell am we go do am unfailingly, yeah
CKay bought a AMG
So it's three bad boys with V8 engines
You no go be si me
You want to lose bet against me (Uh)
We flexing (Uh)
Uh-huh, 'til eternity, uh

[CKay:]
Hallelujah
I'm getting mula
Inside cooler, cooler
Eating suya
Hallelujah
Living la vida loca
Owo wole

Mula
Cooler
Ooh, yeah
Oh, oh-oh-oh
Owo wole",no,,0.0
3a1tBryiczPAZpgoZN9Rzg,Asake,Basquiat,2023-06-15,72,2H0w7oYDjUvgsFlNQ5swIg,2O9VJaLSnwjZ2HPpMaVoPU,Work Of Art,False,False,39800,"""Basquiat""

Ololade mi AÅŸakÄ™
Tune in to the King of Sounds and Blues

Twenty-three, twenty-four
Åžebi I tell dem before
Make dem stop to dey f'áº¹nu fo
'Åže l'aye n yi
Iwá» gbá»n gbá»n
It dey turn turn
Bi Revolver Mag .44
Tell me what Oluwa can't do
Me I no skedaddle
Tell me what Oluwa no fit handle
Jáº¹'n gbadun l'o ma gbadun
Oya, kan tan candle
Dem small, Shatta Bandle

Walking poetry, I am greater
I'm a work of art, basquiat
Na gaskia
Owo at'alafia
L'awa n wa
Not time for drama o
Walking poetry, I am greater
I'm a work of art, basquiat
Na gaskia
Owo at'alafia
Lawa n wa
Not time for drama o

El Chapo, emi ni
Ebenezer Obey the Commander, emi ni
Capone, Capo de Tutti, emi ni
I'm on one
Won o ri'ru ginger t'emi ri
I'm guilty
If dem see my swag, it dey kill
I no go appeal
Know it's hard to swallow the pill
Tell Nojim, tell Raheem
May you tell Wakeel
Shout out to my Sphinx, my mama, na she be my queen
Ogbor
Tal'o b'á»má»gá»?
Tani Ugor t'o n wu bo?
A maa ká»
No dey fuck up!
O l'Ã³kÃ³, oÃ² má»'nká»
Wá»n ni irá» ko
Emi l'á»má» tan fi n yangan, ye
All eyes on me bi ti 2 Pac
See, I too bad
You go feel am like kolos, two drags
I no dey buga, I be cool cat
Never lose guard
Can't catch the wave with a durag
Studying me, it's an honor, jÄ™'un lo
I get many pages like Songs of Solomon
L'á»la Anobi Muhammad
Ko ni wa'láº¹ lai lai till we reach al Jana

Twenty-three, twenty-four
Åžebi I tell dem before
Make dem stop to dey f'áº¹nu fo
Åže l'aye n yi
Iwá» gbá»n gbá»n
It dey turn turn
Bi Revolver Mag .44
Tell me what Oluwa can't do
Me I no skedaddle
Tell me what Oluwa no fit handle
Jáº¹'n gbadun l'o ma gbadun
Oya, kan tan candle
Dem small, Shatta Bandle

Walking poetry, I am greater
I'm a work of art, basquiat
Na gaskia
Owo at'alafia
L'awa n wa
Not time for drama o
Walking poetry, I am greater
I'm a work of art, basquiat
Na gaskia
Owo at'alafia
Lawa n wa
Not time for drama o

El Chapo, emi ni
Ebenezer Obey the Commander, emi ni
Capone, Capo de Tutti, emi ni
I'm on one
Won o ri'ru ginger t'emi ri
I'm guilty
If dem see my swag, it dey kill
I no go appeal
Know it's hard to swallow the pill
",no,,0.0
0Y3agQaa6g2r0YmHPOO9rh,Davido,UNAVAILABLE (feat. Musa Keys),2023-03-30,80,2kaH2Z8ezDUKf6fNw250rZ,6lI21W76LD0S3vC55GrfSS,Timeless,True,False,1950000,"""UNAVAILABLE""
(feat. Musa Keys)

Baddest
You know
Eh, eh, eh, eh
Tune into the king of sounds and blues
Initiating rage process

[DaVido:]
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)

And I sorry for who wan, who wan
Who wan gbe my matter s'ori
I'm only human (Human)
So make no body para oh
Say I carry woman (Woman)
Shey na man wey I for carry?
Fuck all the rumours
Abi e get when I talk sey I be pastor
Hmm, ye, ye
If you know, you oh
The kind work
If it's not owo oh
I can't talk
'Cause, owo ni koko (Koko)
Oga ade, dey your dey
Me I dey for the dey
Girl I'm unavailable

I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)

[Musa Keys:]
Don't dim my life
I don't have no time, Soniya
Come see me shinning
Got too many girls on my IG
I'm changing my life oh
And my mama proud in me
She got me going
This friend took all my freedom
'Cause I'm a big propeller, save the remorse
Girls go jealous, 'cause I dey Banana
I'm a big propeller, save the remorse
Girls go jealous, 'cause I dey Banana
'Cause I'm a big propeller, save the remorse
Girls go jealous, 'cause I dey Banana
I'm a big propeller, save the chedda
Fuck their father
Chiki-chi-chiki-chi-chi

[DaVido:]
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
I'm unavailable (Unavailable)
Dem no dem see me (Dem no dey see)
",yes,Banana,3.0
